particion,EMD,Tiempo,combinacion
c_t+1,0.0,0.07862619998923037,"['b_t', 'c_t+1', 'e_t+1']"
b_t,0.0,0.07762729999376461,"['b_t', 'c_t+1', 'f_t+1']"
d_t+1,0.0,0.07603360000939574,"['b_t', 'd_t+1', 'e_t+1']"
b_t,0.0,0.07925899999099784,"['b_t', 'd_t+1', 'f_t+1']"
f_t+1,0.0,0.09410010000283364,"['b_t', 'e_t+1', 'f_t+1']"
d_t,0.0,0.08585360000142828,"['c_t', 'd_t', 'a_t+1']"
d_t,0.0,0.08700139999564271,"['c_t', 'd_t', 'b_t+1']"
c_t,0.0,0.08090059999085497,"['c_t', 'd_t', 'c_t+1']"
c_t,0.0,0.08031029999256134,"['c_t', 'd_t', 'd_t+1']"
c_t,0.0,0.07766399999673013,"['c_t', 'd_t', 'e_t+1']"
c_t,0.0,0.07934509999176953,"['c_t', 'd_t', 'f_t+1']"
e_t,0.0,0.078586899995571,"['c_t', 'e_t', 'a_t+1']"
e_t,0.0,0.0818312000046717,"['c_t', 'e_t', 'b_t+1']"
c_t,0.0,0.08225300000049174,"['c_t', 'e_t', 'c_t+1']"
c_t,0.0,0.07984829999622889,"['c_t', 'e_t', 'd_t+1']"
c_t,0.0,0.10828020000190008,"['c_t', 'e_t', 'e_t+1']"
c_t,0.0,0.08138440000766423,"['c_t', 'e_t', 'f_t+1']"
f_t,0.0,0.07770110000274144,"['c_t', 'f_t', 'a_t+1']"
f_t,0.0,0.07985320000443608,"['c_t', 'f_t', 'b_t+1']"
c_t,0.0,0.08292430000437889,"['c_t', 'f_t', 'c_t+1']"
c_t,0.0,0.08119119999173563,"['c_t', 'f_t', 'd_t+1']"
c_t,0.0,0.08328199999232311,"['c_t', 'f_t', 'e_t+1']"
c_t,0.0,0.08162279998941813,"['c_t', 'f_t', 'f_t+1']"
a_t+1,0.125,0.08289160000276752,"['c_t', 'a_t+1', 'b_t+1']"
c_t+1,0.0,0.09081589999550488,"['c_t', 'a_t+1', 'c_t+1']"
d_t+1,0.0,0.08032480000110809,"['c_t', 'a_t+1', 'd_t+1']"
e_t+1,0.0,0.08199059999606106,"['c_t', 'a_t+1', 'e_t+1']"
f_t+1,0.0,0.07808680000016466,"['c_t', 'a_t+1', 'f_t+1']"
c_t+1,0.0,0.0804842999932589,"['c_t', 'b_t+1', 'c_t+1']"
d_t+1,0.0,0.07869409999693744,"['c_t', 'b_t+1', 'd_t+1']"
e_t+1,0.0,0.09963470000366215,"['c_t', 'b_t+1', 'e_t+1']"
f_t+1,0.0,0.08772530000715051,"['c_t', 'b_t+1', 'f_t+1']"
c_t,0.0,0.07830599999579135,"['c_t', 'c_t+1', 'd_t+1']"
c_t,0.0,0.08196199999656528,"['c_t', 'c_t+1', 'e_t+1']"
c_t,0.0,0.07776369999919552,"['c_t', 'c_t+1', 'f_t+1']"
c_t,0.0,0.07604649999120738,"['c_t', 'd_t+1', 'e_t+1']"
c_t,0.0,0.07759899999655318,"['c_t', 'd_t+1', 'f_t+1']"
c_t,0.0,0.07842760000494309,"['c_t', 'e_t+1', 'f_t+1']"
e_t,0.0,0.07582309999270365,"['d_t', 'e_t', 'a_t+1']"
d_t,0.0,0.07963130000280216,"['d_t', 'e_t', 'b_t+1']"
d_t,0.0,0.08105710000381805,"['d_t', 'e_t', 'c_t+1']"
d_t,0.0,0.0828994000039529,"['d_t', 'e_t', 'd_t+1']"
d_t,0.0,0.07980700000189245,"['d_t', 'e_t', 'e_t+1']"
d_t,0.0,0.08685100000002421,"['d_t', 'e_t', 'f_t+1']"
f_t,0.0,0.09457010000187438,"['d_t', 'f_t', 'a_t+1']"
d_t,0.0,0.088239100005012,"['d_t', 'f_t', 'b_t+1']"
d_t,0.0,0.09654959999897983,"['d_t', 'f_t', 'c_t+1']"
d_t,0.0,0.07933940000657458,"['d_t', 'f_t', 'd_t+1']"
d_t,0.0,0.08380200000829063,"['d_t', 'f_t', 'e_t+1']"
d_t,0.0,0.07872440000937786,"['d_t', 'f_t', 'f_t+1']"
b_t+1,0.0,0.07661720000032801,"['d_t', 'a_t+1', 'b_t+1']"
c_t+1,0.0,0.08196300000417978,"['d_t', 'a_t+1', 'c_t+1']"
d_t+1,0.0,0.09174190000339877,"['d_t', 'a_t+1', 'd_t+1']"
e_t+1,0.0,0.11307189999206457,"['d_t', 'a_t+1', 'e_t+1']"
f_t+1,0.0,0.08123740000883117,"['d_t', 'a_t+1', 'f_t+1']"
d_t,0.0,0.0794404000043869,"['d_t', 'b_t+1', 'c_t+1']"
d_t,0.0,0.07444819998636376,"['d_t', 'b_t+1', 'd_t+1']"
d_t,0.0,0.07711010001366958,"['d_t', 'b_t+1', 'e_t+1']"
d_t,0.0,0.07830719999037683,"['d_t', 'b_t+1', 'f_t+1']"
d_t,0.0,0.07981120000476949,"['d_t', 'c_t+1', 'd_t+1']"
d_t,0.0,0.0899312999972608,"['d_t', 'c_t+1', 'e_t+1']"
d_t,0.0,0.07982680000714026,"['d_t', 'c_t+1', 'f_t+1']"
d_t,0.0,0.08013580000260845,"['d_t', 'd_t+1', 'e_t+1']"
d_t,0.0,0.0794923000066774,"['d_t', 'd_t+1', 'f_t+1']"
d_t,0.0,0.07817090000025928,"['d_t', 'e_t+1', 'f_t+1']"
e_t,0.0,0.08147930000268389,"['e_t', 'f_t', 'a_t+1']"
e_t,0.0,0.08024989999830723,"['e_t', 'f_t', 'b_t+1']"
e_t,0.0,0.07744999999704305,"['e_t', 'f_t', 'c_t+1']"
e_t,0.0,0.08008559999871068,"['e_t', 'f_t', 'd_t+1']"
e_t,0.0,0.08284099999582395,"['e_t', 'f_t', 'e_t+1']"
e_t,0.0,0.08466300000145566,"['e_t', 'f_t', 'f_t+1']"
e_t,0.0,0.09272989998862613,"['e_t', 'a_t+1', 'b_t+1']"
e_t,0.0,0.07832240000425372,"['e_t', 'a_t+1', 'c_t+1']"
e_t,0.0,0.08186539998860098,"['e_t', 'a_t+1', 'd_t+1']"
e_t,0.0,0.07759059999079909,"['e_t', 'a_t+1', 'e_t+1']"
e_t,0.0,0.08509910000429954,"['e_t', 'a_t+1', 'f_t+1']"
e_t,0.0,0.15403050000895746,"['e_t', 'b_t+1', 'c_t+1']"
e_t,0.0,0.08022180000261869,"['e_t', 'b_t+1', 'd_t+1']"
e_t,0.0,0.08487560000503436,"['e_t', 'b_t+1', 'e_t+1']"
e_t,0.0,0.0840582000091672,"['e_t', 'b_t+1', 'f_t+1']"
e_t,0.0,0.09038180000788998,"['e_t', 'c_t+1', 'd_t+1']"
e_t,0.0,0.08300709999457467,"['e_t', 'c_t+1', 'e_t+1']"
e_t,0.0,0.07683579999138601,"['e_t', 'c_t+1', 'f_t+1']"
e_t,0.0,0.08141850000538398,"['e_t', 'd_t+1', 'e_t+1']"
e_t,0.0,0.09261189999233466,"['e_t', 'd_t+1', 'f_t+1']"
e_t,0.0,0.12835939999786206,"['e_t', 'e_t+1', 'f_t+1']"
f_t,0.0,0.1094747000024654,"['f_t', 'a_t+1', 'b_t+1']"
f_t,0.0,0.10179080000671092,"['f_t', 'a_t+1', 'c_t+1']"
f_t,0.0,0.0779978999926243,"['f_t', 'a_t+1', 'd_t+1']"
f_t,0.0,0.07702620000054594,"['f_t', 'a_t+1', 'e_t+1']"
f_t,0.0,0.07275550000485964,"['f_t', 'a_t+1', 'f_t+1']"
f_t,0.0,0.07870539999566972,"['f_t', 'b_t+1', 'c_t+1']"
f_t,0.0,0.07964269998774398,"['f_t', 'b_t+1', 'd_t+1']"
f_t,0.0,0.07371480000438169,"['f_t', 'b_t+1', 'e_t+1']"
f_t,0.0,0.07547350000822917,"['f_t', 'b_t+1', 'f_t+1']"
f_t,0.0,0.07710260000021663,"['f_t', 'c_t+1', 'd_t+1']"
f_t,0.0,0.07675999999628402,"['f_t', 'c_t+1', 'e_t+1']"
f_t,0.0,0.07874569999694359,"['f_t', 'c_t+1', 'f_t+1']"
f_t,0.0,0.08976980000443291,"['f_t', 'd_t+1', 'e_t+1']"
f_t,0.0,0.0865740999870468,"['f_t', 'd_t+1', 'f_t+1']"
f_t,0.0,0.07682960000238381,"['f_t', 'e_t+1', 'f_t+1']"
a_t,0.0,0.12220920000982005,"['a_t', 'b_t', 'c_t', 'a_t+1']"
a_t,0.0,0.11692109999421518,"['a_t', 'b_t', 'c_t', 'b_t+1']"
c_t,0.0,0.11795249998976942,"['a_t', 'b_t', 'c_t', 'c_t+1']"
a_t,0.0,0.1724306000105571,"['a_t', 'b_t', 'c_t', 'd_t+1']"
a_t,0.0,0.11980829999083653,"['a_t', 'b_t', 'c_t', 'e_t+1']"
a_t,0.0,0.1174643999984255,"['a_t', 'b_t', 'c_t', 'f_t+1']"
a_t,0.0,0.11592360000940971,"['a_t', 'b_t', 'd_t', 'a_t+1']"
b_t,0.0,0.11755180000909604,"['a_t', 'b_t', 'd_t', 'b_t+1']"
d_t,0.0,0.11304019999806769,"['a_t', 'b_t', 'd_t', 'c_t+1']"
a_t,0.0,0.11391699999512639,"['a_t', 'b_t', 'd_t', 'd_t+1']"
a_t,0.0,0.1238084000069648,"['a_t', 'b_t', 'd_t', 'e_t+1']"
a_t,0.0,0.1291207000031136,"['a_t', 'b_t', 'd_t', 'f_t+1']"
a_t,0.0,0.12078620000102092,"['a_t', 'b_t', 'e_t', 'a_t+1']"
b_t,0.0,0.12579579999146517,"['a_t', 'b_t', 'e_t', 'b_t+1']"
e_t,0.0,0.15014519999385811,"['a_t', 'b_t', 'e_t', 'c_t+1']"
a_t,0.0,0.11979240000073332,"['a_t', 'b_t', 'e_t', 'd_t+1']"
a_t,0.0,0.13246529999014456,"['a_t', 'b_t', 'e_t', 'e_t+1']"
a_t,0.0,0.12620730001071934,"['a_t', 'b_t', 'e_t', 'f_t+1']"
a_t,0.0,0.11652130000584293,"['a_t', 'b_t', 'f_t', 'a_t+1']"
b_t,0.0,0.11837529999320395,"['a_t', 'b_t', 'f_t', 'b_t+1']"
f_t,0.0,0.1199683000013465,"['a_t', 'b_t', 'f_t', 'c_t+1']"
a_t,0.0,0.1782907000015257,"['a_t', 'b_t', 'f_t', 'd_t+1']"
a_t,0.0,0.12955959999817424,"['a_t', 'b_t', 'f_t', 'e_t+1']"
a_t,0.0,0.12776419999136124,"['a_t', 'b_t', 'f_t', 'f_t+1']"
"a_t, b_t+1",0.0,0.12276839998958167,"['a_t', 'b_t', 'a_t+1', 'b_t+1']"
a_t+1,0.125,0.12210720000439323,"['a_t', 'b_t', 'a_t+1', 'c_t+1']"
a_t,0.0,0.12808329999097623,"['a_t', 'b_t', 'a_t+1', 'd_t+1']"
a_t,0.0,0.13107070000842214,"['a_t', 'b_t', 'a_t+1', 'e_t+1']"
a_t,0.0,0.12452399999892805,"['a_t', 'b_t', 'a_t+1', 'f_t+1']"
b_t+1,0.25,0.12273499999719206,"['a_t', 'b_t', 'b_t+1', 'c_t+1']"
b_t,0.0,0.12176119998912327,"['a_t', 'b_t', 'b_t+1', 'd_t+1']"
"a_t, b_t+1",0.0,0.11662179999984801,"['a_t', 'b_t', 'b_t+1', 'e_t+1']"
b_t,0.0,0.11822440000833012,"['a_t', 'b_t', 'b_t+1', 'f_t+1']"
d_t+1,0.0,0.11960739998903591,"['a_t', 'b_t', 'c_t+1', 'd_t+1']"
a_t,0.5,0.12006649999239016,"['a_t', 'b_t', 'c_t+1', 'e_t+1']"
f_t+1,0.0,0.12376479999511503,"['a_t', 'b_t', 'c_t+1', 'f_t+1']"
a_t,0.0,0.14512449999165256,"['a_t', 'b_t', 'd_t+1', 'e_t+1']"
a_t,0.0,0.12977420000243,"['a_t', 'b_t', 'd_t+1', 'f_t+1']"
a_t,0.0,0.16080080000392627,"['a_t', 'b_t', 'e_t+1', 'f_t+1']"
a_t,0.0,0.12231410000822507,"['a_t', 'c_t', 'd_t', 'a_t+1']"
a_t,0.0,0.11659079999662936,"['a_t', 'c_t', 'd_t', 'b_t+1']"
a_t,0.0,0.11967629998980556,"['a_t', 'c_t', 'd_t', 'c_t+1']"
a_t,0.0,0.11730509999324568,"['a_t', 'c_t', 'd_t', 'd_t+1']"
a_t,0.0,0.11938119999831542,"['a_t', 'c_t', 'd_t', 'e_t+1']"
a_t,0.0,0.11571379999804776,"['a_t', 'c_t', 'd_t', 'f_t+1']"
a_t,0.0,0.11678919999394566,"['a_t', 'c_t', 'e_t', 'a_t+1']"
a_t,0.0,0.1244176000036532,"['a_t', 'c_t', 'e_t', 'b_t+1']"
a_t,0.0,0.1175840999931097,"['a_t', 'c_t', 'e_t', 'c_t+1']"
a_t,0.0,0.1274002999998629,"['a_t', 'c_t', 'e_t', 'd_t+1']"
a_t,0.0,0.12640530000498984,"['a_t', 'c_t', 'e_t', 'e_t+1']"
a_t,0.0,0.11774469999363646,"['a_t', 'c_t', 'e_t', 'f_t+1']"
a_t,0.0,0.12597200000891462,"['a_t', 'c_t', 'f_t', 'a_t+1']"
a_t,0.0,0.11450769999646582,"['a_t', 'c_t', 'f_t', 'b_t+1']"
a_t,0.0,0.12355930000194348,"['a_t', 'c_t', 'f_t', 'c_t+1']"
a_t,0.0,0.14248789999692235,"['a_t', 'c_t', 'f_t', 'd_t+1']"
a_t,0.0,0.1329732000012882,"['a_t', 'c_t', 'f_t', 'e_t+1']"
a_t,0.0,0.12759550000191666,"['a_t', 'c_t', 'f_t', 'f_t+1']"
a_t,0.0,0.12266950000775978,"['a_t', 'c_t', 'a_t+1', 'b_t+1']"
a_t,0.0,0.13565999999991618,"['a_t', 'c_t', 'a_t+1', 'c_t+1']"
a_t,0.0,0.1415058999991743,"['a_t', 'c_t', 'a_t+1', 'd_t+1']"
a_t,0.0,0.11894219998794142,"['a_t', 'c_t', 'a_t+1', 'e_t+1']"
a_t,0.0,0.13287809999019373,"['a_t', 'c_t', 'a_t+1', 'f_t+1']"
a_t,0.0,0.12685210000199731,"['a_t', 'c_t', 'b_t+1', 'c_t+1']"
